Dimension,Label,Runs,Complete Runs,Completion Rate,Avg CCT,FCT p50,FCT p95,FCT p99,Avg Drops,Avg Repairs,Avg Control Reports,Avg Report Retries,Avg Waiting Offset Ticks,Avg Hot Ticks,Recovery p95
policy+collectiveCount,"policy=static-lossless-rate, collectiveCount=1",6,6,1.0000,56.00,76,76,76,0.00,0.00,0.00,0.00,0.00,586.17,
policy+collectiveCount,"policy=member-formula-rate, collectiveCount=1",6,6,1.0000,56.00,76,76,76,0.00,0.00,0.00,0.00,0.00,586.17,
policy+collectiveCount,"policy=phase-offset-smart-recovery, collectiveCount=1",6,6,1.0000,70.67,66,94,99,2394.50,2393.33,3697.00,1386.17,5.00,719.50,48
policy+collectiveCount,"policy=smart-recovery-max-rate, collectiveCount=1",6,6,1.0000,73.50,70,96,118,2400.83,2398.17,3752.17,1420.17,0.00,729.83,53
policy+collectiveCount,"policy=intermediate-rate, collectiveCount=1",6,6,1.0000,77.33,69,101,118,2104.00,2103.17,3555.00,1744.17,0.00,701.17,83
policy+collectiveCount,"policy=static-lossless-rate, collectiveCount=2",6,6,1.0000,79.33,144,146,147,0.00,0.00,0.00,0.00,0.00,758.83,
policy+collectiveCount,"policy=sequential-smart-recovery, collectiveCount=1",6,6,1.0000,94.67,64,128,128,0.00,0.00,0.00,0.00,0.00,900.00,
policy+collectiveCount,"policy=smart-recovery-max-rate, collectiveCount=2",6,6,1.0000,126.83,85,288,295,8937.33,8033.50,12777.50,6508.00,0.00,1773.83,163
policy+collectiveCount,"policy=intermediate-rate, collectiveCount=2",6,6,1.0000,143.67,88,285,307,7883.00,7066.00,11505.83,6603.00,0.00,1692.67,164
policy+collectiveCount,"policy=phase-offset-smart-recovery, collectiveCount=2",6,6,1.0000,147.17,84,287,321,8676.17,7700.67,12420.17,6589.17,16.00,1751.83,164
policy+collectiveCount,"policy=member-formula-rate, collectiveCount=2",6,6,1.0000,167.58,77,343,464,3603.00,3262.00,4713.83,2953.00,0.00,1482.83,230
policy+collectiveCount,"policy=sequential-smart-recovery, collectiveCount=2",6,6,1.0000,194.33,101,402,428,1335.33,1159.33,2615.33,1456.00,0.00,1907.83,48
policy+collectiveCount,"policy=no-recovery-max-rate, collectiveCount=1",6,0,0.0000,,18,19,19,1136.00,0.00,0.00,0.00,0.00,200.00,
policy+collectiveCount,"policy=no-recovery-max-rate, collectiveCount=2",6,0,0.0000,,18,19,19,2339.00,0.00,0.00,0.00,0.00,344.83,
